Frame	Time	handball_6 - 1 X	handball_6 - 1 Y	handball_6 - 1 Z	handball_6 - 2 X	handball_6 - 2 Y	handball_6 - 2 Z	handball_6 - 3 X	handball_6 - 3 Y	handball_6 - 3 Z	handball_6 - 4 X	handball_6 - 4 Y	handball_6 - 4 Z	handball_6 - 5 X	handball_6 - 5 Y	handball_6 - 5 Z	handball_6 - 6 X	handball_6 - 6 Y	handball_6 - 6 Z	
2118	7.05667	391.190	15.337	1142.191	559.828	116.743	1177.512	401.085	153.494	1166.812	467.112	19.162	1071.610	458.658	59.280	1257.473	517.347	-10.502	1176.943
2119	7.06000	394.455	13.352	1140.802	563.543	113.954	1175.890	405.160	151.617	1164.206	470.987	16.006	1070.916	461.759	57.849	1255.960	520.326	-12.926	1176.267
2120	7.06333	397.740	11.226	1139.425	567.243	111.138	1174.295	409.191	149.600	1161.619	474.794	12.767	1069.862	464.940	56.334	1254.478	523.361	-15.405	1175.592
2121	7.06667	401.225	8.923	1138.144	570.999	108.241	1172.709	413.133	147.505	1159.090	478.476	9.460	1068.981	468.200	54.800	1253.016	526.514	-17.311	1174.986
2122	7.07000	404.413	6.863	1137.147	574.906	105.208	1171.067	416.638	141.683	1158.207	482.196	6.007	1067.997	471.602	53.235	1251.658	529.670	-20.111	1174.445
2123	7.07333	408.060	4.301	1135.879	578.902	102.006	1169.463	421.247	140.220	1156.203	485.974	2.398	1067.187	475.047	51.526	1250.232	532.866	-22.760	1173.885
2124	7.07667	411.622	1.828	1134.950	582.993	98.734	1167.846	425.716	138.566	1153.935	489.706	-1.281	1066.383	478.652	49.854	1248.980	536.165	-25.631	1173.484
2125	7.08000	414.975	-0.543	1134.179	587.067	95.392	1166.266	430.150	136.323	1151.567	493.414	-5.043	1065.390	482.238	48.068	1247.690	539.378	-28.603	1173.126
2126	7.08333	418.542	-3.128	1133.334	591.210	91.886	1164.709	434.572	133.744	1149.234	497.040	-8.965	1064.835	485.942	46.218	1246.430	542.630	-31.658	1172.909
2127	7.08667	422.346	-5.912	1132.573	595.400	88.337	1163.254	439.205	131.165	1147.077	500.750	-12.951	1064.312	489.684	44.306	1245.280	545.888	-34.793	1172.738
2128	7.09000	425.911	-8.530	1131.960	599.759	84.594	1161.917	443.877	128.514	1144.951	504.532	-17.089	1064.014	493.814	42.304	1244.849	549.236	-37.965	1172.664
2129	7.09333	429.494	-11.154	1131.556	604.139	80.627	1160.698	448.558	125.735	1142.824	508.183	-21.257	1063.926	497.674	40.319	1243.787	552.649	-41.167	1172.692
2130	7.09667	433.120	-13.801	1131.221	608.661	76.940	1159.538	453.506	124.755	1141.498	511.947	-25.624	1064.252	501.684	38.266	1243.042	556.077	-44.460	1172.849
2131	7.10000	437.036	-16.783	1130.791	613.109	72.883	1158.627	458.171	121.804	1139.370	515.814	-30.079	1064.637	505.617	36.196	1242.228	559.505	-47.950	1173.206
2132	7.10333	440.830	-19.645	1130.535	617.504	69.380	1157.566	463.263	119.578	1137.830	519.609	-34.520	1064.934	509.540	33.994	1241.518	562.869	-51.350	1173.612
2133	7.10667	444.675	-22.465	1130.349	622.024	65.284	1156.970	468.282	117.122	1136.242	523.517	-38.845	1065.289	513.508	31.776	1240.948	566.271	-54.734	1174.163
2134	7.11000	448.421	-25.200	1130.346	626.558	60.916	1156.559	473.349	113.970	1134.665	527.450	-43.163	1065.658	517.495	29.486	1240.504	569.738	-58.209	1174.864
2135	7.11333	452.338	-28.075	1130.433	631.169	57.139	1156.252	478.371	110.080	1133.259	531.508	-47.497	1066.188	521.507	27.141	1240.208	573.250	-61.606	1175.675
2136	7.11667	456.463	-31.118	1130.470	635.827	52.469	1156.343	483.488	106.977	1131.992	535.642	-51.879	1066.934	525.535	24.782	1240.009	576.779	-65.074	1176.678
2137	7.12000	460.467	-34.131	1130.722	640.390	48.222	1156.601	488.665	103.411	1130.894	539.787	-56.225	1067.743	529.507	22.363	1240.029	580.287	-68.627	1177.877
2138	7.12333	464.593	-37.164	1131.152	644.949	43.916	1157.143	493.832	99.753	1129.940	543.851	-60.539	1068.816	533.453	19.892	1240.182	583.728	-72.227	1179.261
2139	7.12667	468.645	-40.163	1131.718	649.485	39.315	1157.880	499.095	96.583	1129.207	547.962	-64.803	1069.931	537.353	17.408	1240.498	587.176	-75.708	1180.833
2140	7.13000	472.653	-43.036	1132.515	654.163	35.667	1158.951	504.336	92.780	1128.601	552.168	-69.191	1071.331	541.330	14.928	1241.037	590.628	-79.275	1182.589
2141	7.13333	476.732	-46.050	1133.380	658.769	31.119	1160.169	509.622	89.280	1128.250	556.593	-73.777	1073.051	545.274	12.421	1241.744	594.172	-82.848	1184.484
2142	7.13667	480.866	-49.101	1134.414	663.428	26.725	1161.647	514.764	85.626	1127.720	561.068	-78.343	1074.987	549.178	9.824	1242.611	597.701	-86.399	1186.641
2143	7.14000	485.068	-52.206	1135.600	667.979	22.145	1163.371	520.130	82.065	1127.725	564.865	-82.146	1076.806	553.009	7.194	1243.656	601.111	-89.991	1188.936
2144	7.14333	489.299	-55.362	1136.829	672.523	17.600	1165.374	525.489	78.376	1127.758	568.856	-86.302	1078.996	556.768	4.420	1244.947	604.447	-93.573	1191.566
2145	7.14667	496.342	-59.312	1138.035	677.066	13.054	1167.640	530.958	74.847	1128.282	572.968	-90.561	1081.577	560.444	1.583	1246.367	606.904	-98.268	1195.528
2146	7.15000	499.124	-61.899	1140.289	681.688	8.660	1170.154	536.420	71.288	1128.977	577.146	-94.839	1084.241	564.211	-1.165	1248.103	610.456	-101.344	1198.165
2147	7.15333	502.709	-64.609	1142.442	686.146	3.916	1172.966	541.947	67.724	1129.961	581.347	-99.202	1087.290	567.964	-3.901	1250.041	613.501	-105.299	1201.531
2148	7.15667	506.831	-67.741	1145.125	690.678	-0.599	1176.026	547.452	64.107	1131.189	585.529	-103.479	1090.486	571.964	-6.075	1252.240	616.684	-108.811	1205.081
2149	7.16000	510.341	-70.477	1147.800	695.090	-5.270	1179.414	552.981	60.555	1132.778	589.605	-107.729	1093.890	575.641	-8.761	1254.692	620.034	-111.999	1208.574
2150	7.16333	513.922	-73.273	1150.809	699.415	-9.887	1183.150	558.493	57.034	1134.676	593.607	-111.904	1097.548	579.181	-11.500	1257.365	622.842	-115.750	1212.580
2151	7.16667	517.559	-76.002	1153.919	703.705	-14.352	1187.166	563.945	53.516	1136.854	597.562	-116.046	1101.443	582.634	-14.215	1260.216	625.720	-119.391	1216.810
2152	7.17000	521.294	-78.639	1156.955	707.918	-18.880	1191.502	569.406	50.109	1139.382	601.562	-120.145	1105.562	586.319	-16.836	1263.542	629.152	-122.245	1220.785
2153	7.17333	525.232	-81.394	1160.212	712.027	-23.361	1196.104	574.753	46.699	1142.193	605.494	-124.142	1109.882	589.830	-19.500	1266.989	631.529	-126.006	1225.580
2154	7.17667	529.098	-84.158	1163.683	716.052	-27.819	1201.019	580.077	43.382	1145.380	609.380	-127.956	1114.421	593.250	-22.110	1270.805	634.593	-129.155	1230.329
2155	7.18000	532.814	-86.763	1167.387	719.987	-32.157	1206.248	585.363	40.103	1148.898	613.129	-131.713	1119.161	596.540	-24.867	1274.746	637.149	-132.455	1235.215
2156	7.18333	536.438	-89.142	1171.269	723.778	-36.514	1211.807	590.533	36.904	1152.736	616.746	-135.352	1124.073	599.859	-27.407	1279.169	639.658	-135.751	1240.298
2157	7.18667	539.987	-91.694	1175.419	727.438	-40.740	1217.648	595.636	33.809	1156.929	620.333	-138.800	1129.177	602.833	-30.117	1283.616	642.010	-138.987	1245.497
2158	7.19000	543.544	-94.057	1179.745	731.018	-44.921	1223.791	600.630	30.825	1161.447	623.833	-142.194	1134.478	605.800	-32.743	1288.424	644.364	-142.153	1251.088
2159	7.19333	547.028	-96.154	1184.162	734.493	-48.914	1230.204	605.512	27.942	1166.294	627.396	-145.294	1139.972	608.796	-35.543	1293.397	646.634	-145.299	1256.710
2160	7.19667	550.353	-98.387	1188.779	737.827	-52.898	1236.878	610.310	25.144	1171.488	630.832	-148.057	1145.643	611.668	-38.177	1298.707	648.776	-148.325	1262.615
2161	7.20000	553.593	-100.144	1193.561	740.991	-56.787	1243.829	614.982	22.412	1177.011	634.135	-150.959	1151.437	614.331	-40.590	1304.379	650.790	-151.336	1268.622
2162	7.20333	556.057	-100.686	1197.997	744.011	-60.608	1251.046	619.532	19.879	1182.821	637.305	-153.687	1157.517	616.865	-43.100	1310.254	652.617	-154.265	1274.819
2163	7.20667	559.130	-102.719	1203.338	746.868	-64.338	1258.490	623.960	17.326	1188.989	640.347	-156.338	1163.697	619.110	-45.621	1316.321	654.375	-157.084	1281.126
2164	7.21000	562.116	-104.518	1208.851	749.644	-67.961	1266.211	628.268	14.977	1195.449	643.410	-158.752	1170.100	621.367	-48.270	1322.511	656.121	-159.832	1287.504
2165	7.21333	565.456	-106.631	1214.908	752.254	-71.496	1274.112	632.464	12.701	1202.240	646.404	-161.145	1176.641	623.737	-50.848	1328.967	657.770	-162.548	1294.205
2166	7.21667	568.261	-108.023	1220.688	754.732	-74.903	1282.283	636.483	10.538	1209.292	649.265	-163.345	1183.357	625.687	-52.973	1336.014	659.329	-165.191	1301.053
2167	7.22000	570.982	-109.623	1226.838	757.006	-78.295	1290.663	640.396	8.448	1216.640	651.990	-165.478	1190.223	627.758	-55.749	1342.760	660.725	-167.747	1308.038
2168	7.22333	573.545	-111.159	1233.203	759.131	-81.571	1299.309	644.161	6.429	1224.263	654.595	-167.366	1197.267	629.177	-58.175	1349.760	661.952	-170.281	1315.089
2169	7.22667	576.118	-112.635	1239.718	761.118	-84.768	1308.191	647.832	4.442	1232.156	657.151	-169.242	1204.459	630.952	-60.476	1357.355	662.981	-172.698	1322.290
2170	7.23000	578.506	-113.929	1246.408	762.907	-87.953	1317.193	651.326	2.608	1240.320	659.552	-171.061	1211.802	632.426	-62.754	1364.788	664.020	-175.152	1329.696
2171	7.23333	580.898	-115.280	1253.238	764.564	-91.046	1326.431	654.661	0.831	1248.685	661.940	-172.665	1219.354	633.836	-65.046	1372.570	664.927	-177.508	1337.281
2172	7.23667	583.062	-116.285	1260.218	766.057	-94.082	1335.915	657.862	-0.812	1257.363	664.194	-174.187	1226.979	634.952	-67.474	1380.340	665.612	-179.812	1344.885
