Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
2152	7.17000	602.60852	-51.10626	1179.62143	-96.80923	-32.46138	135.38788	2.01367	-0.60065	-0.46266	-0.65205	-0.59257	-0.28989	0.75155	-0.53673	0.83780	-0.10004	
2153	7.17333	606.47769	-54.61723	1183.49314	-97.54035	-31.74703	134.79782	2.04248	-0.59918	-0.46065	-0.65481	-0.60343	-0.27768	0.74751	-0.52617	0.84303	-0.11159	
2154	7.17667	610.40846	-57.96924	1187.60616	-98.18147	-31.13080	134.27164	2.02173	-0.59753	-0.45912	-0.65739	-0.61292	-0.26708	0.74364	-0.51699	0.84728	-0.12181	
2155	7.18000	614.16360	-61.30855	1191.94259	-98.77166	-30.45239	133.71974	2.03143	-0.59579	-0.45640	-0.66086	-0.62303	-0.25662	0.73891	-0.50682	0.85197	-0.13146	
2156	7.18333	617.83533	-64.54369	1196.55878	-99.30406	-29.73967	133.19833	2.04244	-0.59437	-0.45296	-0.66450	-0.63297	-0.24619	0.73399	-0.49606	0.85687	-0.14038	
2157	7.18667	621.37294	-67.75490	1201.38099	-99.79321	-29.06916	132.62685	2.07057	-0.59191	-0.44939	-0.66909	-0.64310	-0.23709	0.72816	-0.48587	0.86130	-0.14867	
2158	7.19000	624.86489	-70.87390	1206.49544	-100.25712	-28.38739	132.06364	2.07212	-0.58940	-0.44562	-0.67382	-0.65313	-0.22802	0.72210	-0.47543	0.86569	-0.15665	
2159	7.19333	628.30965	-73.87686	1211.78956	-100.61549	-27.72072	131.48811	2.04640	-0.58643	-0.44088	-0.67951	-0.66312	-0.22045	0.71532	-0.46516	0.87008	-0.16307	
2160	7.19667	631.62760	-76.78313	1217.35175	-100.93681	-27.05883	130.91487	2.00288	-0.58325	-0.43590	-0.68543	-0.67297	-0.21326	0.70826	-0.45491	0.87437	-0.16896	
2161	7.20000	634.80354	-79.56743	1223.13980	-101.22810	-26.35127	130.33669	2.00104	-0.58002	-0.43023	-0.69172	-0.68305	-0.20583	0.70077	-0.44387	0.87894	-0.17448	
2162	7.20333	637.73122	-82.07782	1229.07553	-101.42222	-25.49074	129.74213	1.86899	-0.57710	-0.42197	-0.69921	-0.69408	-0.19775	0.69221	-0.43037	0.88478	-0.17876	
2163	7.20667	640.63166	-84.79578	1235.32699	-101.63318	-24.84939	129.15463	1.87994	-0.57296	-0.41626	-0.70601	-0.70365	-0.19185	0.68416	-0.42023	0.88878	-0.18298	
2164	7.21000	643.48795	-87.39259	1241.77099	-101.75935	-24.22064	128.56593	1.87241	-0.56854	-0.40974	-0.71336	-0.71306	-0.18699	0.67570	-0.41025	0.89283	-0.18586	
2165	7.21333	646.34765	-89.99466	1248.51202	-101.87183	-23.65106	128.02092	1.92016	-0.56421	-0.40388	-0.72010	-0.72162	-0.18256	0.66779	-0.40117	0.89641	-0.18844	
2166	7.21667	648.95938	-92.31619	1255.44775	-101.95430	-23.00854	127.42336	1.92218	-0.55936	-0.39688	-0.72774	-0.73099	-0.17781	0.65882	-0.39087	0.90049	-0.19065	
2167	7.22000	651.47617	-94.74091	1262.52705	-101.95328	-22.40782	126.85326	1.88138	-0.55448	-0.38940	-0.73547	-0.73976	-0.17419	0.64994	-0.38120	0.90445	-0.19148	
2168	7.22333	653.76029	-97.02036	1269.81510	-101.95644	-21.81552	126.20554	1.89863	-0.54838	-0.38191	-0.74392	-0.74912	-0.17098	0.63999	-0.37162	0.90824	-0.19233	
2169	7.22667	656.02534	-99.22946	1277.36166	-101.91489	-21.20997	125.60671	1.91311	-0.54278	-0.37396	-0.75203	-0.75796	-0.16760	0.63040	-0.36179	0.91218	-0.19247	
