FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_MARKERS	6
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	3D
MARKER_NAMES	handball_6 - 1	handball_6 - 2	handball_6 - 3	handball_6 - 4	handball_6 - 5	handball_6 - 6
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	handball_6 - 1 X	handball_6 - 1 Y	handball_6 - 1 Z	handball_6 - 2 X	handball_6 - 2 Y	handball_6 - 2 Z	handball_6 - 3 X	handball_6 - 3 Y	handball_6 - 3 Z	handball_6 - 4 X	handball_6 - 4 Y	handball_6 - 4 Z	handball_6 - 5 X	handball_6 - 5 Y	handball_6 - 5 Z	handball_6 - 6 X	handball_6 - 6 Y	handball_6 - 6 Z	
116	0.38333	76.123	1014.419	1057.994	248.490	1035.066	1160.059	113.322	1123.154	1140.956	169.871	1015.769	1011.576	119.811	987.258	1188.819	182.221	937.260	1099.203
117	0.38667	76.185	1013.628	1058.028	248.729	1034.179	1160.494	111.810	1120.649	1141.130	170.036	1015.045	1011.774	119.898	986.386	1189.075	182.332	936.253	1099.622
118	0.39000	76.141	1012.954	1058.226	248.902	1033.272	1160.889	111.911	1119.933	1141.500	170.000	1014.452	1011.941	119.822	985.616	1189.421	182.363	935.543	1100.044
119	0.39333	76.074	1012.296	1058.506	245.698	1035.650	1160.551	109.109	1120.574	1139.137	169.998	1013.793	1012.281	116.454	987.724	1189.209	182.433	934.882	1100.470
120	0.39667	76.043	1011.653	1058.717	245.859	1034.916	1160.921	109.228	1119.804	1139.616	170.014	1013.125	1012.654	116.823	986.824	1189.568	182.471	934.153	1100.862
121	0.40000	76.074	1010.893	1058.985	245.555	1034.543	1161.248	108.946	1119.150	1139.753	170.075	1012.455	1013.056	116.741	986.278	1189.828	182.508	933.419	1101.261
122	0.40333	76.025	1010.277	1059.348	245.394	1034.140	1161.670	112.061	1119.249	1142.389	170.067	1011.873	1013.461	116.106	986.037	1190.119	182.573	932.799	1101.708
123	0.40667	75.970	1009.617	1059.739	245.238	1033.682	1162.149	108.516	1118.152	1140.093	169.951	1011.198	1013.864	115.934	985.570	1190.451	182.508	932.197	1102.187
124	0.41000	75.762	1009.051	1060.307	245.166	1033.173	1162.567	108.439	1117.557	1140.616	169.778	1010.538	1014.313	116.122	984.955	1190.970	182.440	931.629	1102.717
125	0.41333	75.573	1008.499	1060.888	245.097	1032.759	1162.903	108.274	1117.040	1141.235	169.488	1010.217	1014.757	116.188	984.428	1191.578	182.321	931.122	1103.225
126	0.41667	75.394	1007.962	1061.464	247.337	1030.350	1163.662	110.112	1115.661	1143.595	169.211	1009.745	1015.088	118.647	982.027	1192.658	182.203	930.495	1103.707
127	0.42000	75.261	1007.426	1062.072	247.621	1029.542	1164.163	110.380	1115.027	1144.406	169.087	1009.106	1015.737	119.088	981.251	1193.270	182.033	930.028	1104.196
128	0.42333	75.090	1006.907	1062.689	247.768	1028.885	1164.694	110.435	1114.486	1145.060	168.876	1008.521	1016.304	119.133	980.661	1193.824	181.961	929.587	1104.793
129	0.42667	74.857	1006.477	1063.419	248.046	1028.081	1165.217	110.615	1113.983	1145.922	168.431	1008.065	1016.861	119.226	980.086	1194.516	181.821	929.178	1105.384
130	0.43000	74.549	1006.057	1064.205	248.042	1027.500	1165.812	110.581	1113.500	1146.755	168.116	1007.594	1017.458	119.182	979.527	1195.343	181.514	928.710	1105.973
131	0.43333	74.242	1005.712	1065.058	244.709	1029.993	1165.492	107.810	1114.439	1144.707	167.803	1007.092	1018.065	115.759	981.984	1195.376	181.235	928.241	1106.601
132	0.43667	73.977	1005.299	1065.836	245.121	1029.197	1165.950	108.122	1113.979	1145.584	167.397	1006.662	1018.695	115.965	981.452	1196.014	181.010	927.740	1107.219
133	0.44000	73.730	1004.886	1066.618	244.729	1028.951	1166.347	107.935	1113.569	1146.130	167.154	1005.876	1019.394	116.019	981.092	1197.105	180.804	927.207	1107.885
134	0.44333	73.464	1004.545	1067.489	244.470	1028.629	1166.811	107.745	1113.268	1146.817	166.691	1005.551	1019.998	115.951	980.858	1197.765	180.530	926.823	1108.534
135	0.44667	73.165	1004.139	1068.352	244.348	1028.228	1167.303	107.622	1112.906	1147.581	166.253	1005.185	1020.658	115.967	980.530	1198.512	180.265	926.427	1109.220
