FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	6D
BODY_NAMES	handball_6
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
72	0.23667	175.53462	1041.91985	1120.04600	-53.87976	-39.60078	138.16408	2.21240	-0.57407	0.00955	-0.81875	-0.51393	-0.78264	0.35122	-0.63743	0.62240	0.45420	
73	0.24000	174.45749	1041.69620	1119.89294	-53.87837	-39.45060	138.02278	2.25239	-0.57404	0.01271	-0.81873	-0.51646	-0.78153	0.34997	-0.63541	0.62374	0.45520	
74	0.24333	173.46342	1041.44603	1119.69187	-53.96446	-39.24028	137.75954	2.19339	-0.57339	0.01677	-0.81911	-0.52065	-0.77940	0.34850	-0.63257	0.62630	0.45563	
75	0.24667	171.99357	1040.76510	1118.54222	-54.41051	-40.31273	137.28798	1.77694	-0.56028	0.00819	-0.82826	-0.51723	-0.78449	0.34213	-0.64696	0.62009	0.44377	
76	0.25000	171.86391	1040.74692	1118.66222	-54.49078	-39.29612	136.79272	1.86776	-0.56407	0.02189	-0.82544	-0.52983	-0.77632	0.34148	-0.63333	0.62996	0.44950	
77	0.25333	170.70360	1040.50754	1118.48996	-54.72201	-39.07567	136.42809	1.91084	-0.56245	0.02526	-0.82645	-0.53509	-0.77312	0.34053	-0.63035	0.63375	0.44836	
78	0.25667	169.69393	1040.32515	1118.20564	-54.79934	-38.90270	136.16161	1.86710	-0.56132	0.02912	-0.82708	-0.53901	-0.77122	0.33866	-0.62800	0.63591	0.44859	
79	0.26000	168.56640	1040.03822	1117.94921	-54.97891	-38.71041	135.75682	1.89348	-0.55901	0.03350	-0.82849	-0.54443	-0.76845	0.33627	-0.62538	0.63903	0.44781	
80	0.26333	167.64485	1039.69423	1117.73879	-55.15105	-38.56126	135.45184	1.83550	-0.55726	0.03628	-0.82955	-0.54854	-0.76609	0.33498	-0.62335	0.64171	0.44681	
81	0.26667	165.87886	1039.31816	1117.10165	-55.49015	-39.03585	135.19327	1.82256	-0.55110	0.03105	-0.83386	-0.54739	-0.76769	0.33318	-0.62981	0.64007	0.44007	
82	0.27000	164.87864	1039.05217	1116.89850	-55.55447	-38.85976	134.94193	1.75948	-0.55005	0.03487	-0.83440	-0.55117	-0.76578	0.33134	-0.62742	0.64215	0.44044	
83	0.27333	164.61950	1038.90524	1116.88464	-55.90607	-37.91472	134.21272	1.86292	-0.55014	0.04693	-0.83375	-0.56547	-0.75562	0.33058	-0.61449	0.65333	0.44223	
84	0.27667	163.72672	1038.57410	1116.65891	-56.09582	-37.72988	133.86464	1.84636	-0.54806	0.05022	-0.83493	-0.57023	-0.75272	0.32903	-0.61194	0.65643	0.44117	
85	0.28000	162.81585	1038.22486	1116.35575	-56.33228	-37.58649	133.39873	1.85595	-0.54446	0.05401	-0.83705	-0.57577	-0.74975	0.32613	-0.60996	0.65952	0.43931	
86	0.28333	161.28619	1037.73018	1115.67883	-56.58000	-38.13923	133.22621	1.76376	-0.53867	0.04829	-0.84113	-0.57310	-0.75281	0.32379	-0.61757	0.65647	0.43319	
87	0.28667	160.39108	1037.36030	1115.29408	-56.92196	-37.99052	132.72479	1.80876	-0.53472	0.05100	-0.84349	-0.57896	-0.74920	0.32172	-0.61553	0.66038	0.43014	
88	0.29000	159.58860	1037.01443	1114.99322	-57.09122	-37.79398	132.32747	1.76897	-0.53211	0.05523	-0.84487	-0.58422	-0.74621	0.31916	-0.61282	0.66342	0.42933	
89	0.29333	159.40492	1036.84190	1114.93448	-57.28559	-36.96818	131.71936	1.85655	-0.53170	0.06668	-0.84430	-0.59636	-0.73733	0.31733	-0.60137	0.67223	0.43180	
90	0.29667	158.68702	1036.40216	1114.62553	-57.49493	-36.86624	131.28734	1.79682	-0.52789	0.06994	-0.84643	-0.60116	-0.73476	0.31422	-0.59995	0.67471	0.42992	
91	0.30000	157.95575	1035.96224	1114.25078	-57.68919	-36.79568	130.86674	1.84388	-0.52395	0.07299	-0.84862	-0.60557	-0.73255	0.31088	-0.59896	0.67679	0.42802	
92	0.30333	156.64645	1035.36645	1113.57143	-58.03744	-37.40107	130.58914	1.76779	-0.51686	0.06672	-0.85346	-0.60327	-0.73574	0.30782	-0.60739	0.67397	0.42053	
93	0.30667	155.98383	1034.88361	1113.22284	-58.30178	-37.35559	130.15791	1.76774	-0.51262	0.06866	-0.85587	-0.60751	-0.73341	0.30503	-0.60676	0.67631	0.41767	
94	0.31000	156.07510	1034.46979	1113.19314	-58.44513	-36.58371	129.54855	1.79616	-0.51129	0.08014	-0.85566	-0.61917	-0.72482	0.30209	-0.59600	0.68426	0.42022	
95	0.31333	155.49242	1033.97542	1112.88020	-58.64327	-36.53788	129.14317	1.82854	-0.50719	0.08265	-0.85786	-0.62314	-0.72279	0.29879	-0.59535	0.68611	0.41809	
96	0.31667	154.95655	1033.38515	1112.51765	-58.86255	-36.50766	128.70409	1.83048	-0.50260	0.08512	-0.86032	-0.62726	-0.72072	0.29514	-0.59493	0.68798	0.41563	
97	0.32000	153.83762	1032.67468	1111.81847	-59.14483	-37.19333	128.52150	1.73216	-0.49613	0.07805	-0.86473	-0.62324	-0.72543	0.29210	-0.60451	0.68385	0.40855	
98	0.32333	153.40638	1032.09748	1111.42446	-59.40855	-37.17748	128.03902	1.79768	-0.49097	0.08028	-0.86747	-0.62753	-0.72328	0.28823	-0.60429	0.68587	0.40549	
99	0.32667	153.67577	1031.15959	1111.26396	-59.54488	-36.64180	127.48180	1.79084	-0.48826	0.08916	-0.86813	-0.63673	-0.71668	0.28450	-0.59681	0.69167	0.40670	
100	0.33000	153.22393	1030.96196	1111.12078	-59.70844	-36.63197	127.14588	1.81364	-0.48458	0.09095	-0.87001	-0.63966	-0.71525	0.28151	-0.59667	0.69292	0.40477	
101	0.33333	152.30128	1030.14247	1110.50562	-60.05096	-37.27001	126.94353	1.76714	-0.47829	0.08363	-0.87421	-0.63602	-0.71941	0.27915	-0.60557	0.68953	0.39728	
102	0.33667	153.07486	1028.71048	1110.60157	-59.50000	-36.84739	126.89313	1.34645	-0.48040	0.09572	-0.87181	-0.63999	-0.71793	0.27384	-0.59969	0.68951	0.40615	
103	0.34000	152.45748	1028.46079	1110.04995	-60.51158	-36.76927	125.92111	1.87802	-0.46995	0.09295	-0.87778	-0.64871	-0.71075	0.27205	-0.59859	0.69728	0.39432	
104	0.34333	152.88235	1027.16105	1110.11294	-59.85095	-36.81448	126.17000	1.33043	-0.47249	0.09964	-0.87569	-0.64628	-0.71472	0.26739	-0.59923	0.69228	0.40209	
105	0.34667	151.23470	1027.39569	1109.40639	-60.92442	-37.66781	125.51797	1.80137	-0.45987	0.08527	-0.88388	-0.64428	-0.71702	0.26604	-0.61108	0.69181	0.38467	
106	0.35000	151.74278	1026.69669	1109.61666	-60.89455	-37.11610	125.18543	1.72846	-0.45949	0.09374	-0.88322	-0.65172	-0.71119	0.26357	-0.60343	0.69672	0.38788	
107	0.35333	150.93601	1025.88948	1109.15707	-61.14865	-37.81937	125.03773	1.70854	-0.45352	0.08675	-0.88701	-0.64679	-0.71677	0.26059	-0.61317	0.69190	0.38118	
108	0.35667	151.40218	1024.85633	1109.18638	-61.37202	-37.39025	124.52396	1.79071	-0.45029	0.09266	-0.88806	-0.65459	-0.71068	0.25776	-0.60724	0.69739	0.38067	
109	0.36000	151.88401	1023.52842	1109.37827	-60.78707	-37.54662	124.80537	1.30592	-0.45256	0.09714	-0.88643	-0.65101	-0.71532	0.25398	-0.60941	0.69202	0.38696	
110	0.36333	151.97306	1022.66733	1109.37588	-60.80807	-37.58223	124.60094	1.30295	-0.45001	0.09912	-0.88750	-0.65231	-0.71523	0.25088	-0.60990	0.69183	0.38652	
111	0.36667	151.99127	1021.85255	1109.33786	-60.92628	-37.66846	124.44317	1.27634	-0.44770	0.09867	-0.88872	-0.65279	-0.71530	0.24943	-0.61109	0.69182	0.38465	
